gam Baguida 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.90661674662768	0.121747531792751	69.3929543159701	-1.06698977477996	-4.23978533953433	2.10580578997441	-0.659122684635725	0.509816989787355

model	gam Madina 280S allele ratio, binomial GLM
num_obs	19
anova_test	Chisq
p	2.136902e-06
deviance_residual	3.819085
df_residual	17
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Madina 280S allele ratio, binomial GLM	Intercept	0	0	Inf	1127.00280671181	-934816.962072093	937070.967685517	0.00236006106617369	0.998116945460815
gam Madina 280S allele ratio, binomial GLM	ratio_FAM_HEX	6.5433742853185e+85	0	Inf	-197.598185882676	-164398.293716557	164003.097344792	-0.00235860954479421	0.99811810360409

model	gam Obuasi 280S allele ratio, binomial GLM
num_obs	26
anova_test	Chisq
p	0.03832351
deviance_residual	18.03419
df_residual	24
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Obuasi 280S allele ratio, binomial GLM	Intercept	4.31199332244812e-05	1.85954197924357e-09	0.999885273921089	10.0515251799621	0.000114732660451367	20.1029356272638	1.95998635671195	0.049997384971037
gam Obuasi 280S allele ratio, binomial GLM	ratio_FAM_HEX	3.05185380957463	0.859357817020755	10.8381066542276	-1.11574921239772	-2.38306831786203	0.151569893066583	-1.72555456841888	0.0844275786774536

model	col Aboisso 280S allele ratio, binomial GLM
num_obs	11
anova_test	Chisq
p	0.001333097
deviance_residual	4.862077
df_residual	9
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Aboisso 280S allele ratio, binomial GLM	Intercept	2.98822516570943e-07	4.03475776505294e-22	221314144.76284	15.0234160298638	-19.2150937196657	49.2619257793933	0.860006891617103	0.389785243604022
col Aboisso 280S allele ratio, binomial GLM	ratio_FAM_HEX	52.9271621051235	0.0127786378059992	219216.205281826	-3.96891666843257	-12.2978137605288	4.35998042366363	-0.933969244877625	0.350319757774586

model	col Korle-Bu 280S allele ratio, binomial GLM
num_obs	46
anova_test	Chisq
p	4.133032e-07
deviance_residual	37.79008
df_residual	44
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Korle-Bu 280S allele ratio, binomial GLM	Intercept	0.0171761689926545	0.00175348093422494	0.168248639324173	4.06423237957105	1.78231239771631	6.34615236142579	3.49080999864257	0.000481558587144337
col Korle-Bu 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.82850554548087	1.56539426273881	5.11081700709602	-1.0397484963722	-1.63135927540736	-0.448137717337047	-3.44461202886247	0.000571879593720485

model	col Madina 280S allele ratio, binomial GLM
num_obs	34
anova_test	Chisq
p	0.0009861591
deviance_residual	28.44531
df_residual	32
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Madina 280S allele ratio, binomial GLM	Intercept	0.010340756444092	0.00064321730351531	0.166244352027893	4.57166225550884	1.79429657278782	7.34902793822986	3.22618423134686	0.00125452576484274
col Madina 280S allele ratio, binomial GLM	ratio_FAM_HEX	71.5409372001869	3.32385989930618	1539.80788918012	-4.27026983411111	-7.33941294034045	-1.20112672788177	-2.72700711222561	0.00639116614949404

model	col Weija 280S allele ratio, binomial GLM
num_obs	21
anova_test	Chisq
p	0.02054428
deviance_residual	23.6995
df_residual	19
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Weija 280S allele ratio, binomial GLM	Intercept	0.0252510938965343	8.12522395168281e-05	7.84738669067127	3.67888580156415	-2.06018057072196	9.41795217385025	1.2563861796617	0.208975989908558
col Weija 280S allele ratio, binomial GLM	ratio_FAM_HEX	3.41086307530166	0.406913084707326	28.5908400483707	-1.22696536053219	-3.35308638849685	0.899155667432473	-1.13107762224779	0.258022422048885

model	gam Aboisso 280S allele ratio, binomial GLM
num_obs	31
anova_test	Chisq
p	0.3819121
deviance_residual	38.22102
df_residual	29
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Aboisso 280S allele ratio, binomial GLM	Intercept	0.0357427946978046	3.11811704360928e-06	409.717581136924	3.33140657706999	-6.01546809585307	12.678281249993	0.698569001661287	0.484821421604171
gam Aboisso 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.65133871577896	0.28167161941981	24.9567102296925	-0.975064688205458	-3.21714273311961	1.26701335670869	-0.852375177489707	0.394005892706912

model	gam Baguida 280S allele ratio, binomial GLM
num_obs	13
anova_test	Chisq
p	0.4977455
deviance_residual	17.48509
df_residual	11
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Baguida 280S allele ratio, binomial GLM	Intercept	0.0143456811457143	2.82694370393494e-08	7279.89620904171	4.24430634753115	-8.89287188408933	17.3814845791516	0.633217227767616	0.526591797006669
gam Baguida 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.90661674662768	0.121747531792751	69.3929543159701	-1.06698977477996	-4.23978533953433	2.10580578997441	-0.659122684635725	0.509816989787355

model	gam Madina 280S allele ratio, binomial GLM
num_obs	19
anova_test	Chisq
p	2.136902e-06
deviance_residual	3.819085
df_residual	17
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Madina 280S allele ratio, binomial GLM	Intercept	0	0	Inf	1127.00280671181	-934816.962072093	937070.967685517	0.00236006106617369	0.998116945460815
gam Madina 280S allele ratio, binomial GLM	ratio_FAM_HEX	6.5433742853185e+85	0	Inf	-197.598185882676	-164398.293716557	164003.097344792	-0.00235860954479421	0.99811810360409

model	gam Obuasi 280S allele ratio, binomial GLM
num_obs	26
anova_test	Chisq
p	0.03832351
deviance_residual	18.03419
df_residual	24
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Obuasi 280S allele ratio, binomial GLM	Intercept	4.31199332244812e-05	1.85954197924357e-09	0.999885273921089	10.0515251799621	0.000114732660451367	20.1029356272638	1.95998635671195	0.049997384971037
gam Obuasi 280S allele ratio, binomial GLM	ratio_FAM_HEX	3.05185380957463	0.859357817020755	10.8381066542276	-1.11574921239772	-2.38306831786203	0.151569893066583	-1.72555456841888	0.0844275786774536

model	col Aboisso 280S allele ratio, binomial GLM
num_obs	11
anova_test	Chisq
p	0.001333097
deviance_residual	4.862077
df_residual	9
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Aboisso 280S allele ratio, binomial GLM	Intercept	2.98822516570943e-07	4.03475776505294e-22	221314144.76284	15.0234160298638	-19.2150937196657	49.2619257793933	0.860006891617103	0.389785243604022
col Aboisso 280S allele ratio, binomial GLM	ratio_FAM_HEX	52.9271621051235	0.0127786378059992	219216.205281826	-3.96891666843257	-12.2978137605288	4.35998042366363	-0.933969244877625	0.350319757774586

model	col Korle-Bu 280S allele ratio, binomial GLM
num_obs	46
anova_test	Chisq
p	4.133032e-07
deviance_residual	37.79008
df_residual	44
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Korle-Bu 280S allele ratio, binomial GLM	Intercept	0.0171761689926545	0.00175348093422494	0.168248639324173	4.06423237957105	1.78231239771631	6.34615236142579	3.49080999864257	0.000481558587144337
col Korle-Bu 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.82850554548087	1.56539426273881	5.11081700709602	-1.0397484963722	-1.63135927540736	-0.448137717337047	-3.44461202886247	0.000571879593720485

model	col Madina 280S allele ratio, binomial GLM
num_obs	34
anova_test	Chisq
p	0.0009861591
deviance_residual	28.44531
df_residual	32
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Madina 280S allele ratio, binomial GLM	Intercept	0.010340756444092	0.00064321730351531	0.166244352027893	4.57166225550884	1.79429657278782	7.34902793822986	3.22618423134686	0.00125452576484274
col Madina 280S allele ratio, binomial GLM	ratio_FAM_HEX	71.5409372001869	3.32385989930618	1539.80788918012	-4.27026983411111	-7.33941294034045	-1.20112672788177	-2.72700711222561	0.00639116614949404

model	col Weija 280S allele ratio, binomial GLM
num_obs	21
anova_test	Chisq
p	0.02054428
deviance_residual	23.6995
df_residual	19
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
col Weija 280S allele ratio, binomial GLM	Intercept	0.0252510938965343	8.12522395168281e-05	7.84738669067127	3.67888580156415	-2.06018057072196	9.41795217385025	1.2563861796617	0.208975989908558
col Weija 280S allele ratio, binomial GLM	ratio_FAM_HEX	3.41086307530166	0.406913084707326	28.5908400483707	-1.22696536053219	-3.35308638849685	0.899155667432473	-1.13107762224779	0.258022422048885

model	gam Aboisso 280S allele ratio, binomial GLM
num_obs	31
anova_test	Chisq
p	0.3819121
deviance_residual	38.22102
df_residual	29
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Aboisso 280S allele ratio, binomial GLM	Intercept	0.0357427946978046	3.11811704360928e-06	409.717581136924	3.33140657706999	-6.01546809585307	12.678281249993	0.698569001661287	0.484821421604171
gam Aboisso 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.65133871577896	0.28167161941981	24.9567102296925	-0.975064688205458	-3.21714273311961	1.26701335670869	-0.852375177489707	0.394005892706912

model	gam Baguida 280S allele ratio, binomial GLM
num_obs	13
anova_test	Chisq
p	0.4977455
deviance_residual	17.48509
df_residual	11
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Baguida 280S allele ratio, binomial GLM	Intercept	0.0143456811457143	2.82694370393494e-08	7279.89620904171	4.24430634753115	-8.89287188408933	17.3814845791516	0.633217227767616	0.526591797006669
gam Baguida 280S allele ratio, binomial GLM	ratio_FAM_HEX	2.90661674662768	0.121747531792751	69.3929543159701	-1.06698977477996	-4.23978533953433	2.10580578997441	-0.659122684635725	0.509816989787355

model	gam Madina 280S allele ratio, binomial GLM
num_obs	19
anova_test	Chisq
p	2.136902e-06
deviance_residual	3.819085
df_residual	17
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Madina 280S allele ratio, binomial GLM	Intercept	0	0	Inf	1127.00280671181	-934816.962072093	937070.967685517	0.00236006106617369	0.998116945460815
gam Madina 280S allele ratio, binomial GLM	ratio_FAM_HEX	6.5433742853185e+85	0	Inf	-197.598185882676	-164398.293716557	164003.097344792	-0.00235860954479421	0.99811810360409

model	gam Obuasi 280S allele ratio, binomial GLM
num_obs	26
anova_test	Chisq
p	0.03832351
deviance_residual	18.03419
df_residual	24
CI	0.95
variables	ratio_FAM_HEX
call	glm(formula = phenotype ~ ratio_FAM_HEX, family = "binomial",     data = data)
model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
gam Obuasi 280S allele ratio, binomial GLM	Intercept	4.31199332244812e-05	1.85954197924357e-09	0.999885273921089	10.0515251799621	0.000114732660451367	20.1029356272638	1.95998635671195	0.049997384971037
gam Obuasi 280S allele ratio, binomial GLM	ratio_FAM_HEX	3.05185380957463	0.859357817020755	10.8381066542276	-1.11574921239772	-2.38306831786203	0.151569893066583	-1.72555456841888	0.0844275786774536

